race,wealth,weight
Black,504400,3743.7044454
Black,503520,5279.8357505
Black,503520,5566.1009852
Black,499455,718.17413361
Black,498600,5535.4113857
Black,498600,5538.6102053
Black,498600,5512.050555
Black,498600,5507.7563063
Black,498600,5536.5370249
Black,498250,4251.2963286
Black,498150,6117.9166241
Black,496520,5612.0087519
Black,490380,3897.0205418
Black,487100,6600.2268442
Black,486720,5580.9815645
Black,485920,5488.240796
Black,474190,4869.3764957
Black,461110,8329.9422281
Black,460970,7016.8090937
Black,453300,5080.796595
Black,450190,4892.567862
Black,449370,8159.2901641
Black,449320,8207.3565545
Black,447920,8316.6669586
Black,447630,6862.9200077
Black,446910,8353.9000522
Black,446000,9331.5517677
Black,444720,3979.6399827
Black,435190,4786.9390283
Black,433990,8122.0847705
Black,428100,5440.9696799
Black,427901,5914.7231975
Black,425900,9025.8246142
Black,425800,5636.6399685
Black,421901,5785.0044985
Black,419500,3979.6399827
Black,419040,5082.1229204
Black,415000,5366.0893227
Black,410731,4979.7264548
Black,409300,5165.9190588
Black,406700,3946.8248379
Black,405460,8623.6199128
Black,405260,8474.3970467
Black,405260,8625.9421119
Black,404500,10485.927614
Black,403560,8646.0743308
Black,403190,4852.8474414
Black,403160,8566.0262537
Black,402000,7344.8222824
Black,399400,4721.1262977
Black,398100,5160.4182207
Black,396100,5485.8373421
Black,396001,5882.9168559
Black,394400,1270.3653943
Black,393600,4533.7343572
Black,392690,4602.750143
Black,392400,1310.9617429
Black,392080,4994.1820144
Black,390000,7244.4813261
Black,389540,5151.0342916
Black,389000,5458.0263625
Black,388500,7322.987043
Black,388000,5950.5747207
Black,384731,4788.6807375
Black,382600,4301.9019743
Black,381700,4705.9532228
Black,381700,4745.08
Black,381600,4463.7648549
Black,378500,7432.5690179
Black,378500,7335.7486016
Black,377100,5991.8719849
Black,375800,4642.14692
Black,375480,5095.3558914
Black,375340,8196.139654
Black,375190,5100.9248374
Black,367800,4809.4974105
Black,367790,5083.4914526
Black,367500,4599.0106595
Black,367300,5869.1480107
Black,367300,5832.7158392
Black,367300,5932.7123402
Black,367300,5880.7298412
Black,367300,5892.9130857
Black,366800,5086.3946331
Black,366800,5000.5963607
Black,366700,4062.6582826
Black,366700,4069.8537904
Black,366500,3893.3112799
Black,364800,5112.7747125
Black,362800,5069.2414987
Black,362700,4893.9195032
Black,361400,6852.5364751
Black,359700,4625.8792196
Black,357600,4474.3003422
Black,356761,6958.5271639
Black,356400,6824.9014088
Black,355400,6782.5364901
Black,354400,6838.3692667
Black,354000,8923.5584112
Black,353900,8961.5973117
Black,353400,6898.8167848
Black,349900,5861.8927563
Black,348900,3959.5503085
Black,346000,3948.6212748
Black,344400,5961.6243353
Black,343700,5942.4644639
Black,343530,6979.0763005
Black,342510,4718.9347993
Black,342090,8249.4109919
Black,341950,3480.09356
Black,341950,3442.6242371
Black,341950,3424.3978134
Black,341950,3458.6258718
Black,341950,3460.9476822
Black,339780,8139.6047545
Black,339400,9034.3222322
Black,338940,11553.587307
Black,338000,11131.501946
Black,337290,5377.1596568
Black,332900,3844.2741276
Black,331701,8977.1939788
Black,331450,974.26171901
Black,330500,4052.964629
Black,330250,1005.8410782
Black,327801,8927.245548
Black,327530,11237.423052
Black,327201,8883.8499401
Black,326901,8968.3836546
Black,325440,4892.4521754
Black,325440,5156.6763595
Black,325440,5174.1253532
Black,325440,5086.8472223
Black,325440,5200.9604392
Black,324901,9220.7086157
Black,323901,5865.5952425
Black,319600,4550.9482334
Black,319370,7679.3717313
Black,319300,10688.180707
Black,318000,3936.6260598
Black,316100,10547.700229
Black,316000,4086.9106917
Black,312500,3907.8781334
Black,310390,5279.3269629
Black,303100,8163.2687167
Black,302901,5563.5708914
Black,302000,8163.7699354
Black,301000,3953.9433019
Black,300640,4645.5177845
Black,300600,6316.7543393
Black,299800,10736.03089
Black,299780,6298.6387658
Black,299400,5755.9181575
Black,299400,5641.6280925
Black,299400,5740.9696632
Black,299400,5702.6280558
Black,299300,5742.515612
Black,296700,4064.9333864
Black,295850,7631.7027703
Black,295370,6205.9463011
Black,295130,6169.6011716
Black,293500,6288.6007458
Black,293000,3947.3045268
Black,292320,5519.7557736
Black,290700,6627.3226756
Black,289610,6313.9889161
Black,288600,4572.3516431
Black,288250,4707.8201412
Black,284780,7694.5257505
Black,282450,5952.6525344
Black,281900,929.66881276
Black,281200,10705.241446
Black,279320,3401.8201302
Black,279220,3212.5978669
Black,279220,3401.3402792
Black,279220,3342.9791799
Black,279220,3322.4166149
Black,278490,5155.1670109
Black,277770,5933.9229087
Black,275000,8117.7395768
Black,274300,7351.217006
Black,272500,3997.2786464
Black,272400,7395.2151681
Black,272300,7442.6501378
Black,271400,7688.0901919
Black,270600,3924.8117064
Black,270600,3907.6220531
Black,270500,3919.5288905
Black,269600,3879.0859337
Black,269600,3918.221844
Black,269300,6339.3454867
Black,268400,6328.0170437
Black,268300,7476.4836845
Black,267000,8152.738315
Black,267000,8201.1845924
Black,264720,7072.4451202
Black,264620,7104.9254918
Black,264300,6340.4091272
Black,263860,7077.0823996
Black,263860,7213.2907877
Black,263000,8302.9887015
Black,262860,7286.3161147
Black,262860,7206.7440212
Black,262420,7071.5281634
Black,262420,7025.6725449
Black,262120,7053.2755618
Black,261860,7105.0856907
Black,261670,8250.0073568
Black,261270,8275.3864934
Black,260800,4595.4710147
Black,260370,8128.5682932
Black,260270,8305.1025495
Black,259690,5310.8312178
Black,259000,8851.9054683
Black,259000,8730.9755635
Black,259000,8957.6569457
Black,259000,8825.5898587
Black,259000,8840.9699601
Black,257000,4724.2307587
Black,257000,4980.5511013
Black,257000,4996.6095429
Black,257000,4913.021626
Black,257000,5021.9609717
Black,256600,4703.9613901
Black,254700,6010.5128906
Black,254600,4646.2854596
Black,254090,1123.5382475
Black,252710,1223.7901999
Black,252700,6695.4471872
Black,252590,1185.7923185
Black,252160,1156.6825266
Black,252130,1179.6242339
Black,250840,6351.1819173
Black,250750,6278.7113553
Black,250550,5954.3936034
Black,250110,7762.5412329
Black,246280,8251.1751658
Black,246241,3592.4938211
Black,245630,7710.4666781
Black,244901,11509.65897
Black,244601,11460.475201
Black,244540,4859.2485691
Black,244201,11415.753166
Black,243501,11476.094309
Black,243001,11514.301032
Black,242500,9932.4204819
Black,240300,10041.571204
Black,240160,9873.3271037
Black,240000,9996.129793
Black,239400,10325.777243
Black,238710,6255.5320197
Black,238440,5931.5202252
Black,236100,3717.5575369
Black,236100,3737.3443207
Black,235600,4625.0886222
Black,235310,6088.6647266
Black,235200,6074.4873872
Black,235100,3734.837087
Black,234500,4618.8387863
Black,234100,3758.0192179
Black,234100,3697.8755229
Black,234000,12897.362966
Black,234000,13020.087011
Black,234000,13386.406414
Black,234000,12960.363682
Black,234000,13032.877631
Black,233190,5295.5373022
Black,233110,5967.7676138
Black,229000,6032.2939525
Black,228800,6072.8520679
Black,226800,8345.4955765
Black,226800,8195.5448155
Black,226800,8388.6566836
Black,226800,8318.6693264
Black,226250,4704.2350544
Black,225800,8283.8204697
Black,225380,5531.1911798
Black,225020,4739.6789017
Black,224200,6645.6404069
Black,224200,6554.8512921
Black,224200,6725.0341932
Black,224200,6625.8837479
Black,224200,6637.4304847
Black,223290,5285.6633523
Black,223210,6299.2869136
Black,221290,972.44513066
Black,221000,4831.7751826
Black,221000,4825.2715895
Black,221000,4775.4828889
Black,220000,4810.6132654
Black,220000,4823.6625047
Black,219600,6797.9209256
Black,219600,6739.3521219
Black,219600,6863.3110384
Black,218600,6788.2667202
Black,218190,4844.9410363
Black,217741,3576.9969133
Black,217600,6773.6185504
Black,214101,4885.5203869
Black,213800,5774.5184951
Black,212500,5785.9135892
Black,212400,5738.6737272
Black,211830,5433.8639675
Black,211400,5837.0579634
Black,210220,8555.3132942
Black,210100,6682.2410807
Black,210100,6801.7375658
Black,210100,6799.9064628
Black,210000,6817.6122457
Black,210000,6754.492646
Black,209800,784.13144699
Black,209800,5797.9004008
Black,209550,4778.3736401
Black,209440,8535.162691
Black,207930,5429.5078265
Black,207600,11325.801086
Black,204500,10830.615321
Black,204200,8097.8540343
Black,202500,6136.3686029
Black,202500,6170.1679714
Black,202400,6195.9863848
Black,202300,6172.8077465
Black,202021,3564.2009137
Black,201850,5955.9095857
Black,201850,5968.2485819
Black,201750,5944.1796922
Black,201750,5907.2817688
Black,201750,6008.5566334
Black,201400,6172.2742229
Black,201300,8093.9266404
Black,201040,8592.9218441
Black,200910,10876.783529
Black,200770,10965.050518
Black,200390,10954.736871
Black,199800,929.39697692
Black,199100,8038.7506077
Black,198700,7982.7045791
Black,197209,7522.0592039
Black,195100,6638.5554351
Black,194500,4081.3711408999998
Black,194500,8064.0882083
Black,194350,3254.9404936
Black,193709,7441.5971204
Black,193600,8422.2100433
Black,193219,7592.3515842
Black,193100,8528.6630164
Black,192219,7574.6729386
Black,192090,6401.3465855
Black,191200,4068.9726552
Black,189909,7572.6337528
Black,189200,5356.8869365
Black,188700,5359.9497025
Black,188460,5337.240021
Black,188080,5393.024171
Black,187900,737.65626098
Black,186500,4086.8720908
Black,184920,5404.2481062
Black,184800,780.32620803
Black,184200,4740.230228
Black,184100,4730.3641844
Black,184100,4680.5917455
Black,184100,4726.5720149
Black,184100,4704.5825656
Black,183620,5699.2389835
Black,183520,5656.4662536
Black,183310,3996.2779324
Black,183310,3998.960674
Black,183210,3956.7290366
Black,183100,4080.0101248
Black,182590,6486.6615253
Black,182570,11185.876828
Black,182410,5425.9282214
Black,182150,5441.8066803
Black,182060,5619.3390363
Black,181590,6356.7551474
Black,181310,4021.0828265
Black,181310,3977.7888035
Black,180890,6401.6828324
Black,180820,9173.4561659
Black,180730,9037.1448224
Black,180450,3274.5222081
Black,179890,6409.4409506
Black,179830,9200.3737319
Black,179830,9233.4113214
Black,179730,9172.1578242
Black,179120,11248.462426
Black,178270,5745.5585342
Black,178150,5330.5223521
Black,178100,6760.6603681
Black,177800,5689.6655259
Black,177151,1265.7331607
Black,176951,1240.4373602
Black,176900,1002.3830828
Black,176861,1301.6526152
Black,176800,766.92933599
Black,176751,1255.4240506
Black,176160,5423.89239
Black,175751,1206.1482657
Black,175621,3559.8294252
Black,175100,3708.3009876
Black,174760,7282.1861109
Black,173750,7354.2403195
Black,172760,7375.7725583
Black,172750,7328.3103603
Black,172750,7378.9347972
Black,172610,5122.0833527
Black,171900,5750.1682454
Black,171640,968.27091807
Black,171600,4039.2582438
Black,171500,5511.9788281
Black,171400,5540.2310021
Black,171000,5718.82845
Black,170700,5762.1612777
Black,170400,5570.5920643
Black,170400,5582.2105574
Black,170400,5566.1263131
Black,170130,5376.6893713
Black,170000,5202.935054
Black,169800,777.44953697
Black,168990,5746.6028453
Black,168990,5708.8840005
Black,168990,5786.7367433
Black,168990,5790.0571648
Black,168800,4485.8998126
Black,168800,4479.8617694
Black,168800,4433.6371182
Black,168800,4466.2527395
Black,168800,4478.3678685
Black,168300,3611.3681174
Black,168200,3616.2355883
Black,168200,3574.1048623
Black,168200,3600.397418
Black,168200,3610.1638333
Black,167980,5766.6538949
Black,167500,5640.8359649
Black,166500,6672.30936
Black,166000,5336.1806197
Black,165200,7987.1177146
Black,165200,8088.8868081
Black,165200,8028.0564493
Black,165100,8072.0510627
Black,165100,8065.5799782
Black,164500,5678.9327538
Black,163450,3263.9671626
Black,163000,5211.0190898
Black,162330,5325.6905556
Black,161050,1441.9912716
Black,159850,1432.8008877
Black,159600,3703.9040928
Black,159350,1424.276375
Black,159150,1448.5464204
Black,158600,9670.7893722
Black,158600,9753.2228135
Black,158600,9651.0740473
Black,157510,5171.17892
Black,157430,4661.156028
Black,157050,1489.5445503
Black,156820,5445.1972891
Black,156500,5618.0874723
Black,156500,5629.1738747
Black,155520,5181.3834195
Black,155500,5583.213735
Black,154050,9743.7437235
Black,154050,9592.1509156
Black,154050,9786.5765292
Black,154050,9713.3914187
Black,154000,3730.7033649
Black,153950,9720.7939722
Black,153420,4602.5585916
Black,153370,4629.7322023
Black,151800,1005.5469696
Black,151260,7619.5497565
Black,151050,6696.2482584
Black,150800,1001.9772115
Black,150000,5286.4289337
Black,150000,5282.3038598
Black,149900,6686.7384454
Black,149420,5415.3312998
Black,149420,5367.8820999
Black,149410,5357.3102998
Black,149350,4578.5182471
Black,149320,5379.0028659
Black,149220,5324.0553117
Black,148700,5841.9296584
Black,147700,5768.4303129
Black,147600,5829.7706008
Black,147600,5825.0970751
Black,147600,5797.9969535
Black,147400,4636.7098916
Black,146900,6709.8210084
Black,146400,1006.8654518
Black,146300,3690.0238783
Black,145700,6870.6180898
Black,144400,1002.0939474
Black,143020,5192.1178118
Black,142800,10751.736605
Black,142210,5227.1840711
Black,142190,1059.9612658
Black,142000,4740.230228
Black,141800,10857.043252
Black,141300,1073.199415
Black,141100,3712.3109161
Black,140200,1054.938142
Black,140000,4730.3641844
Black,139190,1056.9088325
Black,138980,10924.566503
Black,138800,4726.5720149
Black,138700,6965.2745922
Black,138400,1000.8926493
Black,138200,10856.181837
Black,137600,4680.5917455
Black,137400,1003.9659216
Black,136480,11029.072895
Black,136000,10811.596472
Black,135700,4612.385263
Black,135570,7491.1214305
Black,135400,4658.487673
Black,135300,1015.320983
Black,134500,6673.2508754
Black,134500,4704.5825656
Black,134450,3268.9349715
Black,134231,3526.8076365
Black,134190,1053.6734949
Black,134100,10909.936429
Black,133690,3914.3151534
Black,133690,3953.8064896
Black,133590,3960.4562
Black,133590,3955.1254065
Black,133040,981.16580804
Black,132780,11027.654672
Black,132590,3943.1104331
Black,132180,10969.172469
Black,132000,4489.4443661
Black,132000,4441.1076081
Black,132000,4417.5948738
Black,132000,4461.7502855
Black,132000,4464.7455034
Black,131980,11009.949276
Black,129300,4661.6149627
Black,129300,10464.048377
Black,128799,5990.5417814
Black,128310,7942.1258061
Black,128310,8060.749974
Black,128305,7895.6127398
Black,128305,8083.9335718
Black,128105,8047.903711
Black,128100,6704.4419767
Black,127740,8423.1759921
Black,127620,8385.6341376
Black,127610,8275.4172609
Black,127600,8399.0194942
Black,127570,8226.952273
Black,126700,6960.4899238
Black,126700,6939.685703
Black,126570,4609.8679831
Black,126500,6723.8155728
Black,126450,10393.847523
Black,126340,5508.8848652
Black,126180,4608.0861692
Black,125700,6916.2614444
Black,125600,9674.5462243
Black,125450,3239.1407911
Black,125330,10451.809283
Black,124570,4599.9390657
Black,124440,10374.812213
Black,124020,5139.0793246
Black,123700,4077.2771651
Black,123600,9821.6677094
Black,123400,1019.4404727
Black,123240,4616.4912747
Black,122799,5950.5333831
Black,122770,10384.99287
Black,122430,7568.4344517
Black,121490,6324.317712
Black,121200,926.47269109
Black,120500,4554.9341527
Black,120315,6294.7960116
Black,120185,6287.4808643
Black,119190,10464.048377
Black,119150,6324.1960435
Black,118295,6229.2048923
Black,117400,10384.99287
Black,115550,6682.8182091
Black,114900,10451.809283
Black,114400,6639.2209145
Black,114000,7577.7645223
Black,114000,7604.2048621
Black,113950,5274.4351065
Black,113900,7528.0265238
Black,113900,7630.6871335
Black,113900,7635.0656112
Black,113600,10374.812213
Black,113130,7398.9100584
Black,113030,7391.9506973
Black,113020,7308.1969393
Black,113000,10393.847523
Black,112650,7339.3499574
Black,112550,7642.334473
Black,110800,6331.1275367
Black,110660,3605.9830136
Black,110601,10984.51803
Black,110501,11113.907058
Black,110501,11027.87769
Black,110501,11085.429977
Black,110501,11054.567245
Black,109900,1011.701708
Black,109699,5886.8816221
Black,109600,1026.3422738
Black,109300,1025.5414047
Black,109100,1036.0013951
Black,108800,5548.7251725
Black,108799,6006.1401184
Black,108700,4680.5088177
Black,108700,4587.5721841
Black,108700,4669.6103423
Black,108700,4668.3532315
Black,108700,4637.1751941
Black,108650,7201.1962231
Black,108630,7147.0415093
Black,108200,4636.9347728
Black,108170,9736.4848041
Black,108120,7180.4471312
Black,107900,1010.1322198
Black,107640,7110.595473
Black,107350,7186.2080659
Black,106899,6729.213133
Black,106699,6818.8367532
Black,106510,9426.6063751
Black,106500,4568.0831253
Black,106500,4612.9581547
Black,106500,4591.4972717
Black,106050,9479.3487573
Black,105899,6849.3641735
Black,105899,6829.7211491
Black,105799,6689.8034908
Black,105670,9470.0456124
Black,105640,968.663136
Black,105540,972.00480518
Black,105500,4616.6591709
Black,105500,4626.2880617
Black,105345,9380.7833593
Black,105000,4687.4029024
Black,104550,10116.630254
Black,103700,4071.4274854
Black,100799,5992.1549359
Black,99800,7803.3627789
Black,99651,7210.4121135
Black,99600,6336.8788737
Black,99370,6729.1685082
Black,98540,971.72059027
Black,98450,6093.1633556
Black,98370,6025.6354901
Black,98360,6097.5916522
Black,98290,6070.2183391
Black,98270,5985.5109947
Black,98051,7185.3624972
Black,97961,7137.4389726
Black,97961,7238.3385563
Black,97951,7235.9746226
Black,97700,6766.8885669
Black,97591,6690.9628969
Black,97500,6721.1976668
Black,97371,6589.3977248
Black,97300,6401.031653
Black,97221,6569.2267078
Black,96860,2593.7537129
Black,96381,6577.1112694
Black,95200,6241.8206523
Black,95200,6217.2197497
Black,95105,7349.6311276
Black,94500,6762.9324691
Black,94500,6770.3161783
Black,93980,6728.718604
Black,93391,6608.428408
Black,93300,10673.915971
Black,92100,10789.327421
Black,92000,5676.5036089
Black,91900,10864.794364
Black,91800,10861.869441
Black,91440,7131.3775516
Black,91440,7125.105271
Black,91440,7092.9763341
Black,91105,7298.580535
Black,91000,6797.0304389
Black,91000,5615.6843537
Black,90800,9973.4095811
Black,90800,10890.151875
Black,90700,10047.264247
Black,90440,7124.8112718
Black,90440,7222.7464675
Black,90300,9908.2249299
Black,90110,7220.5089617
Black,90050,5396.5756565
Black,90050,5377.2264922
Black,89700,7752.8861089
Black,89700,7684.9552248
Black,89100,6890.8873301
Black,89050,5324.6167495
Black,89050,5388.8331759
Black,89050,5386.7502751
Black,88600,7669.8200543
Black,88600,7622.2103845
Black,88600,10009.097645
Black,88505,7366.7845447
Black,88040,5632.7046236
Black,87900,7315.3540748
Black,87805,7347.6525255
Black,87800,7261.9285145
Black,87800,7312.7560996
Black,87800,7287.5427906
Black,87550,5509.3444565
Black,87450,5481.2497871
Black,87400,5690.2582197
Black,86930,5622.8915859
Black,86800,7214.0485689
Black,86550,5539.536257
Black,86550,5551.0899776
Black,86550,5535.0954022
Black,86450,9830.8732454
Black,86100,7056.3969906
Black,86030,5645.6637933
Black,86000,5616.2254785
Black,85800,10040.630165
Black,85730,5640.0861119
Black,85100,6990.6069299
Black,85000,6225.3887081
Black,84970,5474.6889925
Black,84600,7700.876325
Black,84500,7597.4523479
Black,84000,6250.3184997
Black,84000,6337.3591278
Black,84000,6255.3147076
Black,84000,6264.0717091
Black,84000,7756.7876017
Black,84000,7684.4642192
Black,83810,7878.3451954
Black,83600,4509.3348012
Black,83500,7569.8213482
Black,83500,7701.8937353
Black,83400,926.09755635
Black,83300,6723.5945679
Black,83120,3343.3765026
Black,82960,4106.3798147
Black,82800,5436.1960914
Black,82800,5449.4886845
Black,82800,5401.1309516
Black,82800,5419.4564798
Black,82800,5423.8320645
Black,82550,9951.1233345
Black,82470,7139.902381
Black,82410,4986.6926814
Black,82330,6780.9359914999995
Black,82100,6723.2277287
Black,82030,3372.4597148
Black,81900,4534.4843407
Black,81410,4976.3136651
Black,81410,4923.9533693
Black,81410,4972.3243263
Black,81410,4949.1915626
Black,81400,6880.197256
Black,81200,6985.1520622
Black,81200,9702.3476623
Black,80710,7203.0152902
Black,80600,4518.5355156
Black,80200,7798.4060731
Black,80200,7512.5372431
Black,80032,5338.5843406
Black,79980,7125.8406674
Black,79932,5298.2826876
Black,79932,5288.9866081
Black,79932,5300.790545
Black,79832,5293.6460152
Black,79800,7081.6076972
Black,79800,6624.5377455
Black,79800,6598.1153567
Black,79800,6716.7896726
Black,79800,6629.8330865
Black,79800,6639.1143875
Black,79560,7154.6942825
Black,79200,7433.9336142
Black,78920,6871.4564851
Black,78620,6820.4953306
Black,78540,8451.7701774
Black,78480,9737.1877882
Black,78450,5294.992643
Black,78450,5250.9769744
Black,78450,5322.2854032
Black,78450,5284.5487862
Black,78450,5256.4371562
Black,78410,9672.59229
Black,78230,3353.7550942
Black,78200,7577.4903763
Black,78200,7469.664552
Black,78000,5580.8255336
Black,77500,582.60631324
Black,77500,594.9836783
Black,77500,584.54908792
Black,76900,9051.08184
